class,l_a,l_wm_a,l_wm_av,l_m_a,l_m_av,r_a,r_wm_a,r_wm_av,r_m_a,r_m_av
HAPPY,-1.3382516801357274,-1.3382516801357274,-1.3382516801357274,0.1430673505645245,0.13770519573259174,-1.5568314194679267,-1.5568314194679267,-1.5568314194679267,-0.40125133240362637,-0.4029600287805437
HAPPY,-1.3556833863258366,-1.346967533230782,-1.3469670553799167,0.1430673505645245,0.13770519573259174,-1.544425696134568,-1.5506285578012473,-1.5506277618809474,-0.40125133240362637,-0.4029600287805437
HAPPY,-1.3884691596031193,-1.3608014086882279,-1.3607936145935287,0.1430673505645245,0.13770519573259174,-1.5574202537536628,-1.5528924564520523,-1.5528880182482567,-0.40125133240362637,-0.4029600287805437
HAPPY,-1.3862103819847111,-1.3671536520123486,-1.3671420953267919,0.1430673505645245,0.13770519573259174,-1.557829141616822,-1.5541266277432448,-1.5541198347648577,-0.40125133240362637,-0.4029600287805437
HAPPY,-1.4009597897529606,-1.373914879560471,-1.3738888525548727,0.1430673505645245,0.13770519573259174,-1.55592429637909,-1.554486161470414,-1.5544788819660837,-0.40125133240362637,-0.4029600287805437
HAPPY,-1.4024067819118504,-1.3867458999156956,-1.3867130029948367,0.1430673505645245,0.13770519573259174,-1.5295157134532935,-1.5490230202674873,-1.5490492001810814,-0.40125133240362637,-0.4029600287805437
HAPPY,-1.3316926360130314,-1.3819477498531345,-1.3819692567424426,0.1430673505645245,0.13770519573259174,-1.5943228602409372,-1.5590024530887612,-1.5590030708485643,-0.40125133240362637,-0.4029600287805437
HAPPY,-1.156521618366242,-1.335558241605759,-1.3355928817306677,0.1430673505645245,0.13770519573259174,-1.4244029819965367,-1.5323989987373359,-1.5323799785539245,-0.40125133240362637,-0.4029600287805437
HAPPY,-1.0093088150024419,-1.260177928209305,-1.2600763064864593,0.1430673505645245,0.13770519573259174,-1.4068266749382026,-1.5021985054016118,-1.5020533209489366,-0.40125133240362637,-0.4029600287805437
HAPPY,-0.676573991775513,-1.1153007686138157,-1.1148522521704187,0.1430673505645245,0.13770519573259174,-0.9994464814662939,-1.3909029424190529,-1.390178384357022,-0.40125133240362637,-0.4029600287805437
HAPPY,0.08263441920280445,-0.8182925283908847,-0.8173913258132091,0.1430673505645245,0.13770519573259174,-0.5072468966245651,-1.1864491790533072,-1.184918563731888,-0.40125133240362637,-0.4029600287805437
HAPPY,0.2987478822469712,-0.49220442473888426,-0.4911752101295288,0.1430673505645245,0.13770519573259174,-0.3607398569583893,-0.9397325783967976,-0.9381576744673443,-0.40125133240362637,-0.4029600287805437
HAPPY,0.41728712618351,-0.17744267582893386,-0.1765427484974175,0.1430673505645245,0.13770519573259174,-0.2692114412784576,-0.7086942702531818,-0.7073607928297486,-0.40125133240362637,-0.4029600287805437
HAPPY,0.5288251712918282,0.13018412142992014,0.13074966526400522,0.1430673505645245,0.13770519573259174,-0.5957980379462241,-0.546488542854786,-0.5460525234797745,-0.40125133240362637,-0.4029600287805437
HAPPY,0.513305276632309,0.3681599751114845,0.3683461616704079,0.1430673505645245,0.13770519573259174,-0.6094951182603836,-0.46849827021360396,-0.4686537567084641,-0.40125133240362637,-0.4029600287805437
HAPPY,0.529376033693552,0.457508298009634,0.4575830962743675,0.1430673505645245,0.13770519573259174,-0.7037285044789314,-0.5077945917844773,-0.5081344723785768,-0.40125133240362637,-0.4029600287805437
HAPPY,0.5952207706868649,0.5168028756976127,0.5168288549998986,0.1430673505645245,0.13770519573259174,-0.5758200287818909,-0.5508106261491775,-0.5510411033857247,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6366210449486972,0.5606696594506502,0.5606438367453866,0.1430673505645245,0.13770519573259174,-0.2958147241733967,-0.5561312827281654,-0.556080926719612,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6576176024973394,0.5864281456917524,0.5863336902041001,0.1430673505645245,0.13770519573259174,0.14872337877750413,-0.4072269993834198,-0.4072505752235446,-0.40125133240362637,-0.4029600287805437
HAPPY,0.687523901462555,0.6212718706578017,0.6210832591303258,0.1430673505645245,0.13770519573259174,0.2577955573797228,-0.23376886425539842,-0.23405892872488404,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6732055842876435,0.6500377807766199,0.6498816126245833,0.1430673505645245,0.13770519573259174,0.19252096116542838,-0.05451897112652646,-0.05497215966867331,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6575238704681398,0.6624984007328749,0.66244153370634,0.1430673505645245,0.13770519573259174,0.041678026318550276,0.06898063989356178,0.06879790834943735,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6059054732322694,0.6563552863895894,0.6564048892668016,0.1430673505645245,0.13770519573259174,0.0624107867479326,0.1406257420778277,0.14072922588649528,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6163174360990525,0.648095253109932,0.6481617622125693,0.1430673505645245,0.13770519573259174,-0.002721980214118791,0.11033667027950304,0.1105349185567374,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6394939571619035,0.6384892642498017,0.6385083096972044,0.1430673505645245,0.13770519573259174,0.001847445964813399,0.05914704799652117,0.05927802269825888,-0.40125133240362637,-0.4029600287805437
HAPPY,0.7075874209403993,0.6453656315803529,0.6453334918621362,0.1430673505645245,0.13770519573259174,0.14568212628364585,0.04977928102016467,0.04956122037343026,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6826210170984269,0.6503850609064104,0.6503143555785057,0.1430673505645245,0.13770519573259174,0.1371859386563303,0.06888086348772067,0.06849622307315222,-0.40125133240362637,-0.4029600287805437
HAPPY,0.599755808711052,0.6491551280021668,0.6491443950308158,0.1430673505645245,0.13770519573259174,0.10356927663087867,0.07711256146430989,0.07669262344740499,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6849308758974076,0.6628778159618378,0.6628733549271647,0.1430673505645245,0.13770519573259174,0.17000180482864402,0.11165731847286245,0.11136462897986801,-0.40125133240362637,-0.4029600287805437
HAPPY,0.678637057542801,0.6707064360380174,0.6707201744562616,0.1430673505645245,0.13770519573259174,0.13677769899368308,0.1386433690786364,0.1386473736948639,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6862188428640367,0.6664327204227448,0.6664022360711434,0.1430673505645245,0.13770519573259174,0.17063137888908408,0.14363321959972403,0.14363597174917805,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6626997143030168,0.6624484598636629,0.6624099172228649,0.1430673505645245,0.13770519573259174,0.11369840800762193,0.13893571346998237,0.1389260066073896,-0.40125133240362637,-0.4029600287805437
HAPPY,0.5938566029071809,0.6612686187028886,0.6612942112304377,0.1430673505645245,0.13770519573259174,0.03386518359184282,0.12499489486217522,0.12492271009065921,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6520408987998964,0.6546906232833863,0.6547049781745419,0.1430673505645245,0.13770519573259174,0.09715056419372575,0.11042464673519152,0.1103691357362925,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6762545108795167,0.6542141139507295,0.6541949260420912,0.1430673505645245,0.13770519573259174,0.15776632726192497,0.1146223723888399,0.11455127033968374,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6582007706165315,0.6486104995012284,0.6485654729994478,0.1430673505645245,0.13770519573259174,0.09772630035877244,0.10004135668277758,0.09997930063576724,-0.40125133240362637,-0.4029600287805437
